Task_ID,Success,Latency_ms,Bytes,Attempts,Error
1,True,110.51,1048576,1,
6,True,75.10,1048576,1,
4,True,80.65,1048576,1,
7,True,62.33,1048576,1,
8,True,27.09,1048576,1,
2,True,106.68,1048576,1,
9,True,28.08,1048576,1,
14,True,18.99,1048576,1,
13,True,22.53,1048576,1,
3,True,130.25,1048576,1,
5,True,106.20,1048576,1,
17,True,15.23,1048576,1,
18,True,14.89,1048576,1,
20,True,15.67,1048576,1,
19,True,19.95,1048576,1,
12,True,67.18,1048576,1,
11,True,70.99,1048576,1,
10,True,75.30,1048576,1,
21,True,25.99,1048576,1,
22,True,32.13,1048576,1,
16,True,69.10,1048576,1,
15,True,72.60,1048576,1,
24,True,28.85,1048576,1,
26,True,26.11,1048576,1,
25,True,30.68,1048576,1,
29,True,28.68,1048576,1,
30,True,28.58,1048576,1,
33,True,22.63,1048576,1,
31,True,28.70,1048576,1,
23,True,69.55,1048576,1,
27,True,61.86,1048576,1,
34,True,23.90,1048576,1,
36,True,22.70,1048576,1,
37,True,23.43,1048576,1,
35,True,27.46,1048576,1,
38,True,24.13,1048576,1,
39,True,15.32,1048576,1,
28,True,73.76,1048576,1,
32,True,66.08,1048576,1,
40,True,28.07,1048576,1,
43,True,24.16,1048576,1,
45,True,21.33,1048576,1,
44,True,25.15,1048576,1,
46,True,16.68,1048576,1,
49,True,21.35,1048576,1,
50,True,21.25,1048576,1,
51,True,21.23,1048576,1,
48,True,26.85,1048576,1,
52,True,22.08,1048576,1,
42,True,69.91,1048576,1,
41,True,73.25,1048576,1,
54,True,25.37,1048576,1,
56,True,24.13,1048576,1,
57,True,23.58,1048576,1,
47,True,63.81,1048576,1,
55,True,30.64,1048576,1,
53,True,35.54,1048576,1,
58,True,38.13,1048576,1,
61,True,33.82,1048576,1,
59,True,40.01,1048576,1,
63,True,33.50,1048576,1,
60,True,39.54,1048576,1,
62,True,37.95,1048576,1,
70,True,25.25,1048576,1,
69,True,28.38,1048576,1,
68,True,31.53,1048576,1,
67,True,35.16,1048576,1,
66,True,38.60,1048576,1,
65,True,67.52,1048576,1,
71,True,36.28,1048576,1,
64,True,73.49,1048576,1,
72,True,34.35,1048576,1,
78,True,23.96,1048576,1,
79,True,23.01,1048576,1,
77,True,28.77,1048576,1,
82,True,18.52,1048576,1,
80,True,23.01,1048576,1,
83,True,23.65,1048576,1,
75,True,71.32,1048576,1,
73,True,77.44,1048576,1,
84,True,27.52,1048576,1,
85,True,27.77,1048576,1,
86,True,23.39,1048576,1,
74,True,86.74,1048576,1,
76,True,84.61,1048576,1,
81,True,68.33,1048576,1,
89,True,30.57,1048576,1,
87,True,43.86,1048576,1,
92,True,33.35,1048576,1,
94,True,20.54,1048576,1,
93,True,36.14,1048576,1,
99,True,26.84,1048576,1,
96,True,37.42,1048576,1,
98,True,34.19,1048576,1,
88,True,83.99,1048576,1,
90,True,79.07,1048576,1,
91,True,79.30,1048576,1,
95,True,79.75,1048576,1,
101,True,39.10,1048576,1,
97,True,77.00,1048576,1,
100,True,46.62,1048576,1,
105,True,36.72,1048576,1,
103,True,42.66,1048576,1,
104,True,42.51,1048576,1,
102,True,50.39,1048576,1,
112,True,31.34,1048576,1,
109,True,40.80,1048576,1,
113,True,33.92,1048576,1,
106,True,50.79,1048576,1,
111,True,44.24,1048576,1,
117,True,27.95,1048576,1,
118,True,26.78,1048576,1,
116,True,33.53,1048576,1,
110,True,80.29,1048576,1,
107,True,87.97,1048576,1,
108,True,88.30,1048576,1,
120,True,34.94,1048576,1,
