Task_ID,Success,Latency_ms,Bytes,Attempts,Error
5,True,556.70,1048576,1,
2,True,575.78,1048576,1,
1,True,585.08,1048576,1,
3,True,572.05,1048576,1,
8,True,512.91,1048576,1,
7,True,545.93,1048576,1,
4,True,574.24,1048576,1,
6,True,560.33,1048576,1,
9,True,576.70,1048576,1,
13,True,572.24,1048576,1,
12,True,575.72,1048576,1,
14,True,575.38,1048576,1,
15,True,575.28,1048576,1,
11,True,585.98,1048576,1,
10,True,592.88,1048576,1,
16,True,585.06,1048576,1,
19,True,555.69,1048576,1,
22,True,549.41,1048576,1,
18,True,562.82,1048576,1,
17,True,567.02,1048576,1,
20,True,562.74,1048576,1,
23,True,555.26,1048576,1,
24,True,558.21,1048576,1,
21,True,608.77,1048576,1,
29,True,620.66,1048576,1,
26,True,633.34,1048576,1,
25,True,637.63,1048576,1,
27,True,634.12,1048576,1,
28,True,635.13,1048576,1,
30,True,631.56,1048576,1,
32,True,588.81,1048576,1,
31,True,630.61,1048576,1,
38,True,554.13,1048576,1,
35,True,563.22,1048576,1,
36,True,563.45,1048576,1,
33,True,574.34,1048576,1,
34,True,571.76,1048576,1,
40,True,559.75,1048576,1,
39,True,564.97,1048576,1,
37,True,572.64,1048576,1,
41,True,526.39,1048576,1,
47,True,517.10,1048576,1,
43,True,528.08,1048576,1,
45,True,525.55,1048576,1,
44,True,529.96,1048576,1,
46,True,527.39,1048576,1,
42,True,539.56,1048576,1,
48,True,527.17,1048576,1,
54,True,533.35,1048576,1,
52,True,538.50,1048576,1,
53,True,538.17,1048576,1,
55,True,535.19,1048576,1,
56,True,535.01,1048576,1,
50,True,550.29,1048576,1,
51,True,550.45,1048576,1,
49,True,559.18,1048576,1,
59,True,536.17,1048576,1,
57,True,541.41,1048576,1,
60,True,537.73,1048576,1,
62,True,536.17,1048576,1,
61,True,540.16,1048576,1,
64,True,535.75,1048576,1,
63,True,542.90,1048576,1,
58,True,555.85,1048576,1,
67,True,599.77,1048576,1,
72,True,587.33,1048576,1,
68,True,601.47,1048576,1,
70,True,597.99,1048576,1,
66,True,608.99,1048576,1,
71,True,597.42,1048576,1,
65,True,615.73,1048576,1,
69,True,609.66,1048576,1,
74,True,550.92,1048576,1,
79,True,542.65,1048576,1,
75,True,553.52,1048576,1,
73,True,559.79,1048576,1,
80,True,548.04,1048576,1,
76,True,559.70,1048576,1,
77,True,559.27,1048576,1,
78,True,559.92,1048576,1,
83,True,559.66,1048576,1,
86,True,553.71,1048576,1,
81,True,567.37,1048576,1,
87,True,555.77,1048576,1,
84,True,563.78,1048576,1,
85,True,563.12,1048576,1,
88,True,559.73,1048576,1,
82,True,574.68,1048576,1,
93,True,515.57,1048576,1,
89,True,523.75,1048576,1,
94,True,517.12,1048576,1,
92,True,521.44,1048576,1,
90,True,526.31,1048576,1,
95,True,518.52,1048576,1,
96,True,518.49,1048576,1,
91,True,529.84,1048576,1,
103,True,571.59,1048576,1,
99,True,580.68,1048576,1,
102,True,578.83,1048576,1,
98,True,587.42,1048576,1,
100,True,586.51,1048576,1,
104,True,582.34,1048576,1,
97,True,595.41,1048576,1,
101,True,593.55,1048576,1,
110,True,537.34,1048576,1,
105,True,551.52,1048576,1,
106,True,550.65,1048576,1,
111,True,540.30,1048576,1,
107,True,550.64,1048576,1,
109,True,547.81,1048576,1,
108,True,550.96,1048576,1,
112,True,542.26,1048576,1,
114,True,594.70,1048576,1,
113,True,598.29,1048576,1,
120,True,589.10,1048576,1,
119,True,592.40,1048576,1,
117,True,597.12,1048576,1,
118,True,598.22,1048576,1,
116,True,603.15,1048576,1,
115,True,607.67,1048576,1,
126,True,539.59,1048576,1,
122,True,550.06,1048576,1,
123,True,550.75,1048576,1,
124,True,550.90,1048576,1,
127,True,545.95,1048576,1,
125,True,552.99,1048576,1,
128,True,547.48,1048576,1,
121,True,564.02,1048576,1,
132,True,596.66,1048576,1,
131,True,602.05,1048576,1,
136,True,594.64,1048576,1,
129,True,611.68,1048576,1,
134,True,602.44,1048576,1,
133,True,607.57,1048576,1,
130,True,614.71,1048576,1,
135,True,606.28,1048576,1,
144,True,580.35,1048576,1,
142,True,585.97,1048576,1,
143,True,586.65,1048576,1,
141,True,593.43,1048576,1,
139,True,598.99,1048576,1,
137,True,606.42,1048576,1,
140,True,599.95,1048576,1,
138,True,607.57,1048576,1,
146,True,583.36,1048576,1,
150,True,577.46,1048576,1,
147,True,585.31,1048576,1,
149,True,582.35,1048576,1,
145,True,593.67,1048576,1,
151,True,584.31,1048576,1,
152,True,584.16,1048576,1,
148,True,596.84,1048576,1,
160,True,587.25,1048576,1,
155,True,605.47,1048576,1,
158,True,602.16,1048576,1,
159,True,601.14,1048576,1,
153,True,617.59,1048576,1,
156,True,614.65,1048576,1,
157,True,615.36,1048576,1,
154,True,624.47,1048576,1,
161,True,937.18,1048576,1,
163,True,933.84,1048576,1,
162,True,939.84,1048576,1,
167,True,928.05,1048576,1,
165,True,936.41,1048576,1,
164,True,943.09,1048576,1,
166,True,939.30,1048576,1,
168,True,935.11,1048576,1,
170,True,588.11,1048576,1,
172,True,584.26,1048576,1,
171,True,588.82,1048576,1,
176,True,578.92,1048576,1,
175,True,582.21,1048576,1,
169,True,600.31,1048576,1,
173,True,590.61,1048576,1,
174,True,590.18,1048576,1,
178,True,593.06,1048576,1,
177,True,597.36,1048576,1,
182,True,590.40,1048576,1,
180,True,594.85,1048576,1,
181,True,594.96,1048576,1,
179,True,599.89,1048576,1,
184,True,592.24,1048576,1,
183,True,598.78,1048576,1,
185,True,588.98,1048576,1,
191,True,580.34,1048576,1,
189,True,585.70,1048576,1,
192,True,580.57,1048576,1,
187,True,592.42,1048576,1,
190,True,589.56,1048576,1,
188,True,593.93,1048576,1,
186,True,600.33,1048576,1,
197,True,557.24,1048576,1,
195,True,562.41,1048576,1,
200,True,554.20,1048576,1,
193,True,569.20,1048576,1,
196,True,565.33,1048576,1,
194,True,570.33,1048576,1,
199,True,562.82,1048576,1,
198,True,567.72,1048576,1,
205,True,536.63,1048576,1,
203,True,541.05,1048576,1,
204,True,541.32,1048576,1,
208,True,535.43,1048576,1,
201,True,548.88,1048576,1,
207,True,542.40,1048576,1,
202,True,553.34,1048576,1,
206,True,551.15,1048576,1,
210,True,566.58,1048576,1,
214,True,561.13,1048576,1,
211,True,567.95,1048576,1,
212,True,568.20,1048576,1,
209,True,574.60,1048576,1,
215,True,564.95,1048576,1,
213,True,576.14,1048576,1,
216,True,571.15,1048576,1,
217,True,558.09,1048576,1,
220,True,555.58,1048576,1,
218,True,561.25,1048576,1,
224,True,545.50,1048576,1,
221,True,560.45,1048576,1,
223,True,554.84,1048576,1,
222,True,562.73,1048576,1,
219,True,570.58,1048576,1,
228,True,1332.75,1048576,1,
227,True,1336.17,1048576,1,
225,True,1342.46,1048576,1,
230,True,1332.40,1048576,1,
229,True,1336.52,1048576,1,
231,True,1332.87,1048576,1,
232,True,1333.68,1048576,1,
226,True,1349.04,1048576,1,
236,True,576.04,1048576,1,
235,True,579.32,1048576,1,
237,True,578.10,1048576,1,
240,True,574.98,1048576,1,
233,True,590.14,1048576,1,
234,True,590.24,1048576,1,
239,True,584.84,1048576,1,
238,True,588.86,1048576,1,
242,True,1116.77,1048576,1,
245,True,1110.78,1048576,1,
248,True,1105.92,1048576,1,
241,True,1123.29,1048576,1,
243,True,1121.38,1048576,1,
244,True,1123.76,1048576,1,
246,True,1120.81,1048576,1,
247,True,1121.64,1048576,1,
249,True,604.62,1048576,1,
251,True,603.04,1048576,1,
252,True,603.46,1048576,1,
255,True,597.08,1048576,1,
256,True,595.07,1048576,1,
250,True,612.89,1048576,1,
253,True,608.99,1048576,1,
254,True,606.79,1048576,1,
264,True,584.00,1048576,1,
262,True,589.72,1048576,1,
263,True,590.27,1048576,1,
261,True,595.62,1048576,1,
259,True,601.50,1048576,1,
257,True,606.84,1048576,1,
260,True,602.24,1048576,1,
258,True,609.39,1048576,1,
272,True,577.51,1048576,1,
269,True,585.26,1048576,1,
268,True,589.47,1048576,1,
267,True,592.94,1048576,1,
265,True,598.38,1048576,1,
271,True,590.29,1048576,1,
270,True,593.03,1048576,1,
266,True,601.88,1048576,1,
277,True,612.68,1048576,1,
278,True,612.50,1048576,1,
279,True,612.94,1048576,1,
276,True,621.04,1048576,1,
275,True,624.53,1048576,1,
280,True,618.56,1048576,1,
274,True,632.33,1048576,1,
273,True,636.28,1048576,1,
287,True,570.43,1048576,1,
286,True,575.67,1048576,1,
283,True,584.55,1048576,1,
282,True,588.70,1048576,1,
284,True,586.17,1048576,1,
285,True,587.04,1048576,1,
281,True,596.68,1048576,1,
288,True,587.24,1048576,1,
291,True,722.75,1048576,1,
290,True,725.98,1048576,1,
292,True,723.35,1048576,1,
289,True,730.64,1048576,1,
296,True,713.19,1048576,1,
293,True,725.84,1048576,1,
294,True,724.96,1048576,1,
295,True,725.18,1048576,1,
298,True,598.17,1048576,1,
302,True,593.67,1048576,1,
300,True,598.73,1048576,1,
299,True,603.13,1048576,1,
297,True,609.11,1048576,1,
304,True,600.06,1048576,1,
303,True,603.27,1048576,1,
301,True,607.78,1048576,1,
308,True,546.63,1048576,1,
310,True,544.13,1048576,1,
307,True,553.30,1048576,1,
306,True,556.75,1048576,1,
309,True,550.21,1048576,1,
312,True,547.36,1048576,1,
305,True,562.62,1048576,1,
311,True,551.50,1048576,1,
315,True,606.74,1048576,1,
313,True,613.88,1048576,1,
318,True,607.99,1048576,1,
316,True,612.89,1048576,1,
320,True,609.12,1048576,1,
319,True,612.61,1048576,1,
314,True,625.44,1048576,1,
317,True,623.36,1048576,1,
324,True,526.02,1048576,1,
322,True,531.74,1048576,1,
327,True,520.18,1048576,1,
321,True,538.63,1048576,1,
323,True,534.93,1048576,1,
328,True,523.20,1048576,1,
325,True,536.41,1048576,1,
326,True,540.36,1048576,1,
330,True,646.11,1048576,1,
333,True,646.04,1048576,1,
334,True,646.27,1048576,1,
332,True,652.75,1048576,1,
329,True,660.46,1048576,1,
336,True,645.72,1048576,1,
335,True,655.06,1048576,1,
331,True,667.67,1048576,1,
338,True,582.49,1048576,1,
337,True,589.53,1048576,1,
339,True,583.53,1048576,1,
344,True,569.77,1048576,1,
342,True,577.79,1048576,1,
340,True,586.47,1048576,1,
341,True,585.63,1048576,1,
343,True,581.02,1048576,1,
348,True,699.23,1048576,1,
347,True,702.72,1048576,1,
349,True,701.00,1048576,1,
345,True,710.05,1048576,1,
352,True,699.02,1048576,1,
351,True,703.21,1048576,1,
346,True,714.64,1048576,1,
350,True,710.14,1048576,1,
360,True,559.30,1048576,1,
359,True,563.58,1048576,1,
358,True,567.79,1048576,1,
355,True,575.54,1048576,1,
357,True,573.02,1048576,1,
353,True,583.02,1048576,1,
354,True,582.67,1048576,1,
356,True,579.82,1048576,1,
367,True,532.16,1048576,1,
364,True,539.46,1048576,1,
361,True,546.58,1048576,1,
363,True,545.09,1048576,1,
365,True,543.55,1048576,1,
362,True,550.35,1048576,1,
366,True,544.46,1048576,1,
368,True,543.27,1048576,1,
376,True,591.29,1048576,1,
370,True,603.37,1048576,1,
369,True,606.85,1048576,1,
373,True,600.99,1048576,1,
375,True,599.52,1048576,1,
371,True,607.71,1048576,1,
372,True,607.14,1048576,1,
374,True,606.28,1048576,1,
383,True,582.98,1048576,1,
378,True,592.09,1048576,1,
381,True,588.93,1048576,1,
384,True,585.81,1048576,1,
379,True,595.94,1048576,1,
382,True,594.51,1048576,1,
377,True,605.68,1048576,1,
380,True,603.35,1048576,1,
388,True,611.82,1048576,1,
391,True,605.45,1048576,1,
387,True,617.70,1048576,1,
389,True,616.30,1048576,1,
386,True,623.70,1048576,1,
392,True,610.72,1048576,1,
385,True,628.79,1048576,1,
390,True,620.63,1048576,1,
394,True,644.79,1048576,1,
399,True,637.13,1048576,1,
395,True,646.50,1048576,1,
396,True,645.45,1048576,1,
393,True,653.01,1048576,1,
397,True,646.28,1048576,1,
400,True,642.33,1048576,1,
398,True,648.92,1048576,1,
406,True,591.08,1048576,1,
402,True,598.44,1048576,1,
408,True,590.66,1048576,1,
405,True,598.10,1048576,1,
403,True,602.14,1048576,1,
407,True,598.19,1048576,1,
401,True,610.87,1048576,1,
404,True,607.59,1048576,1,
415,True,547.39,1048576,1,
413,True,554.37,1048576,1,
414,True,555.13,1048576,1,
409,True,565.52,1048576,1,
411,True,564.13,1048576,1,
416,True,555.70,1048576,1,
412,True,566.58,1048576,1,
410,True,575.97,1048576,1,
421,True,551.00,1048576,1,
422,True,551.41,1048576,1,
420,True,557.83,1048576,1,
423,True,553.11,1048576,1,
418,True,565.42,1048576,1,
417,True,570.10,1048576,1,
419,True,568.09,1048576,1,
424,True,557.38,1048576,1,
430,True,646.76,1048576,1,
428,True,653.22,1048576,1,
431,True,648.09,1048576,1,
426,True,660.74,1048576,1,
427,True,659.90,1048576,1,
425,True,666.03,1048576,1,
432,True,651.20,1048576,1,
429,True,662.02,1048576,1,
435,True,562.57,1048576,1,
434,True,567.87,1048576,1,
433,True,571.26,1048576,1,
436,True,568.06,1048576,1,
437,True,569.74,1048576,1,
440,True,566.03,1048576,1,
439,True,574.28,1048576,1,
438,True,578.85,1048576,1,
443,True,609.40,1048576,1,
448,True,596.03,1048576,1,
445,True,608.82,1048576,1,
446,True,608.44,1048576,1,
444,True,615.53,1048576,1,
