Task_ID,Success,Latency_ms,Bytes,Attempts,Error
1,True,563.99,1048576,1,
2,True,562.59,1048576,1,
4,True,549.29,1048576,1,
5,True,542.19,1048576,1,
7,True,523.61,1048576,1,
3,True,568.42,1048576,1,
8,True,497.95,1048576,1,
6,True,553.36,1048576,1,
13,True,544.25,1048576,1,
10,True,555.64,1048576,1,
16,True,540.21,1048576,1,
14,True,550.81,1048576,1,
9,True,570.58,1048576,1,
12,True,564.38,1048576,1,
11,True,570.10,1048576,1,
15,True,559.16,1048576,1,
18,True,654.68,1048576,1,
21,True,645.12,1048576,1,
17,True,660.15,1048576,1,
22,True,647.21,1048576,1,
23,True,645.69,1048576,1,
24,True,645.59,1048576,1,
19,True,664.21,1048576,1,
20,True,661.60,1048576,1,
27,True,645.08,1048576,1,
25,True,650.36,1048576,1,
29,True,643.39,1048576,1,
28,True,647.53,1048576,1,
26,True,654.79,1048576,1,
30,True,647.35,1048576,1,
31,True,647.20,1048576,1,
32,True,647.92,1048576,1,
37,True,570.75,1048576,1,
35,True,576.68,1048576,1,
40,True,567.66,1048576,1,
33,True,584.22,1048576,1,
34,True,584.99,1048576,1,
36,True,584.92,1048576,1,
39,True,580.18,1048576,1,
38,True,584.16,1048576,1,
45,True,534.50,1048576,1,
42,True,543.16,1048576,1,
43,True,543.44,1048576,1,
41,True,550.94,1048576,1,
44,True,547.81,1048576,1,
47,True,543.42,1048576,1,
48,True,544.77,1048576,1,
46,True,551.69,1048576,1,
50,True,601.65,1048576,1,
54,True,591.36,1048576,1,
55,True,590.24,1048576,1,
53,True,599.27,1048576,1,
49,True,612.13,1048576,1,
56,True,592.54,1048576,1,
52,True,609.92,1048576,1,
51,True,615.37,1048576,1,
60,True,530.98,1048576,1,
57,True,538.82,1048576,1,
64,True,525.11,1048576,1,
59,True,539.00,1048576,1,
62,True,535.24,1048576,1,
63,True,532.69,1048576,1,
61,True,541.49,1048576,1,
58,True,549.79,1048576,1,
72,True,472.49,1048576,1,
65,True,489.86,1048576,1,
69,True,485.47,1048576,1,
71,True,482.71,1048576,1,
67,True,496.57,1048576,1,
66,True,500.74,1048576,1,
68,True,498.81,1048576,1,
70,True,497.53,1048576,1,
80,True,488.40,1048576,1,
73,True,510.05,1048576,1,
79,True,493.95,1048576,1,
78,True,497.87,1048576,1,
74,True,511.81,1048576,1,
75,True,511.06,1048576,1,
76,True,510.73,1048576,1,
77,True,511.55,1048576,1,
84,True,473.08,1048576,1,
85,True,476.00,1048576,1,
81,True,483.88,1048576,1,
86,True,477.64,1048576,1,
82,True,486.57,1048576,1,
87,True,482.07,1048576,1,
83,True,492.09,1048576,1,
88,True,483.55,1048576,1,
95,True,600.72,1048576,1,
91,True,613.86,1048576,1,
89,True,621.64,1048576,1,
90,True,619.13,1048576,1,
94,True,610.83,1048576,1,
96,True,605.26,1048576,1,
93,True,620.48,1048576,1,
92,True,624.62,1048576,1,
97,True,495.85,1048576,1,
102,True,487.54,1048576,1,
101,True,495.34,1048576,1,
104,True,489.68,1048576,1,
103,True,492.83,1048576,1,
98,True,506.61,1048576,1,
99,True,509.60,1048576,1,
100,True,510.49,1048576,1,
105,True,486.70,1048576,1,
112,True,468.12,1048576,1,
108,True,480.97,1048576,1,
109,True,482.10,1048576,1,
111,True,476.58,1048576,1,
107,True,489.22,1048576,1,
106,True,495.02,1048576,1,
110,True,486.91,1048576,1,
115,True,523.89,1048576,1,
113,True,530.44,1048576,1,
120,True,519.52,1048576,1,
118,True,524.83,1048576,1,
117,True,529.23,1048576,1,
119,True,526.94,1048576,1,
116,True,534.67,1048576,1,
114,True,544.26,1048576,1,
121,True,585.18,1048576,1,
124,True,581.43,1048576,1,
125,True,580.90,1048576,1,
127,True,579.24,1048576,1,
128,True,576.84,1048576,1,
126,True,588.92,1048576,1,
122,True,599.00,1048576,1,
123,True,603.79,1048576,1,
129,True,524.80,1048576,1,
136,True,503.38,1048576,1,
130,True,526.69,1048576,1,
132,True,524.36,1048576,1,
133,True,523.87,1048576,1,
131,True,531.04,1048576,1,
135,True,521.64,1048576,1,
134,True,527.63,1048576,1,
139,True,464.77,1048576,1,
140,True,464.25,1048576,1,
142,True,461.98,1048576,1,
144,True,458.31,1048576,1,
137,True,477.56,1048576,1,
143,True,466.17,1048576,1,
138,True,479.89,1048576,1,
141,True,478.31,1048576,1,
148,True,507.96,1048576,1,
147,True,511.94,1048576,1,
146,True,515.12,1048576,1,
150,True,507.73,1048576,1,
145,True,519.93,1048576,1,
152,True,502.78,1048576,1,
149,True,515.13,1048576,1,
151,True,512.09,1048576,1,
154,True,523.99,1048576,1,
159,True,519.13,1048576,1,
160,True,519.79,1048576,1,
158,True,526.84,1048576,1,
153,True,535.89,1048576,1,
157,True,532.88,1048576,1,
155,True,537.95,1048576,1,
156,True,539.20,1048576,1,
165,True,456.08,1048576,1,
164,True,459.32,1048576,1,
163,True,464.20,1048576,1,
161,True,471.88,1048576,1,
168,True,455.89,1048576,1,
166,True,462.77,1048576,1,
162,True,476.09,1048576,1,
167,True,465.29,1048576,1,
169,True,487.67,1048576,1,
176,True,475.25,1048576,1,
170,True,490.79,1048576,1,
174,True,484.33,1048576,1,
175,True,483.95,1048576,1,
173,True,490.41,1048576,1,
172,True,494.60,1048576,1,
171,True,498.76,1048576,1,
183,True,436.58,1048576,1,
177,True,450.51,1048576,1,
179,True,447.55,1048576,1,
182,True,443.72,1048576,1,
178,True,453.97,1048576,1,
180,True,451.38,1048576,1,
181,True,450.62,1048576,1,
184,True,448.05,1048576,1,
191,True,475.41,1048576,1,
187,True,484.32,1048576,1,
189,True,482.30,1048576,1,
192,True,477.69,1048576,1,
190,True,485.44,1048576,1,
185,True,496.50,1048576,1,
188,True,492.98,1048576,1,
186,True,502.17,1048576,1,
193,True,461.16,1048576,1,
194,True,463.25,1048576,1,
198,True,456.23,1048576,1,
199,True,456.11,1048576,1,
196,True,465.23,1048576,1,
200,True,454.41,1048576,1,
195,True,472.45,1048576,1,
197,True,473.98,1048576,1,
202,True,584.57,1048576,1,
204,True,582.81,1048576,1,
201,True,593.29,1048576,1,
203,True,590.50,1048576,1,
208,True,577.72,1048576,1,
206,True,589.48,1048576,1,
207,True,588.83,1048576,1,
205,True,597.00,1048576,1,
209,True,574.24,1048576,1,
212,True,568.78,1048576,1,
214,True,567.01,1048576,1,
216,True,563.08,1048576,1,
213,True,575.77,1048576,1,
215,True,572.50,1048576,1,
210,True,587.50,1048576,1,
211,True,587.42,1048576,1,
218,True,523.54,1048576,1,
223,True,512.99,1048576,1,
219,True,523.98,1048576,1,
220,True,523.76,1048576,1,
221,True,520.94,1048576,1,
224,True,517.33,1048576,1,
222,True,523.58,1048576,1,
217,True,538.50,1048576,1,
230,True,494.75,1048576,1,
225,True,506.03,1048576,1,
228,True,503.36,1048576,1,
227,True,506.59,1048576,1,
229,True,504.97,1048576,1,
226,True,513.32,1048576,1,
232,True,504.85,1048576,1,
