Task_ID,Success,Latency_ms,Bytes,Attempts,Error
3,True,103.79,1048576,1,
8,True,56.12,1048576,1,
6,True,102.08,1048576,1,
7,True,71.69,1048576,1,
1,True,173.99,1048576,1,
4,True,153.54,1048576,1,
11,True,36.83,1048576,1,
2,True,170.86,1048576,1,
10,True,41.15,1048576,1,
5,True,150.58,1048576,1,
9,True,99.05,1048576,1,
18,True,69.99,1048576,1,
13,True,80.70,1048576,1,
17,True,74.80,1048576,1,
14,True,80.67,1048576,1,
15,True,80.18,1048576,1,
12,True,117.33,1048576,1,
16,True,81.12,1048576,1,
20,True,48.35,1048576,1,
19,True,70.56,1048576,1,
26,True,43.58,1048576,1,
22,True,49.72,1048576,1,
28,True,71.77,1048576,1,
21,True,122.09,1048576,1,
23,True,121.07,1048576,1,
27,True,77.85,1048576,1,
29,True,76.44,1048576,1,
24,True,124.17,1048576,1,
25,True,124.17,1048576,1,
30,True,80.56,1048576,1,
31,True,86.32,1048576,1,
38,True,76.46,1048576,1,
36,True,82.27,1048576,1,
37,True,82.48,1048576,1,
34,True,87.39,1048576,1,
33,True,90.52,1048576,1,
32,True,94.34,1048576,1,
35,True,91.12,1048576,1,
43,True,67.67,1048576,1,
39,True,75.10,1048576,1,
45,True,67.04,1048576,1,
44,True,70.94,1048576,1,
46,True,68.15,1048576,1,
40,True,78.63,1048576,1,
41,True,78.04,1048576,1,
42,True,79.02,1048576,1,
51,True,55.77,1048576,1,
47,True,93.31,1048576,1,
48,True,93.03,1048576,1,
50,True,91.53,1048576,1,
52,True,90.92,1048576,1,
49,True,97.46,1048576,1,
53,True,95.52,1048576,1,
54,True,94.70,1048576,1,
55,True,44.49,1048576,1,
58,True,83.09,1048576,1,
57,True,85.59,1048576,1,
59,True,83.87,1048576,1,
56,True,89.30,1048576,1,
61,True,90.38,1048576,1,
60,True,94.47,1048576,1,
62,True,91.22,1048576,1,
63,True,91.05,1048576,1,
66,True,24.35,1048576,1,
67,True,24.64,1048576,1,
68,True,84.23,1048576,1,
72,True,74.28,1048576,1,
64,True,103.80,1048576,1,
70,True,88.12,1048576,1,
73,True,77.47,1048576,1,
69,True,92.06,1048576,1,
65,True,109.19,1048576,1,
71,True,94.48,1048576,1,
74,True,70.46,1048576,1,
79,True,64.03,1048576,1,
75,True,72.96,1048576,1,
81,True,63.77,1048576,1,
77,True,74.02,1048576,1,
78,True,127.87,1048576,1,
82,True,67.51,1048576,1,
76,True,136.20,1048576,1,
80,True,131.35,1048576,1,
84,True,68.46,1048576,1,
83,True,75.62,1048576,1,
86,True,70.21,1048576,1,
85,True,76.61,1048576,1,
89,True,72.43,1048576,1,
92,True,68.13,1048576,1,
93,True,69.03,1048576,1,
87,True,87.51,1048576,1,
90,True,105.81,1048576,1,
94,True,127.73,1048576,1,
96,True,67.80,1048576,1,
91,True,143.09,1048576,1,
95,True,74.73,1048576,1,
88,True,151.69,1048576,1,
99,True,42.12,1048576,1,
97,True,71.96,1048576,1,
98,True,73.24,1048576,1,
102,True,83.51,1048576,1,
105,True,81.81,1048576,1,
101,True,87.95,1048576,1,
104,True,86.18,1048576,1,
103,True,88.85,1048576,1,
106,True,86.98,1048576,1,
100,True,98.16,1048576,1,
107,True,85.19,1048576,1,
111,True,92.23,1048576,1,
110,True,95.59,1048576,1,
108,True,100.48,1048576,1,
115,True,90.61,1048576,1,
112,True,96.50,1048576,1,
114,True,94.96,1048576,1,
113,True,97.52,1048576,1,
109,True,106.22,1048576,1,
116,True,67.54,1048576,1,
121,True,61.74,1048576,1,
120,True,64.67,1048576,1,
117,True,70.05,1048576,1,
122,True,77.64,1048576,1,
123,True,76.69,1048576,1,
118,True,134.55,1048576,1,
127,True,67.33,1048576,1,
128,True,54.18,1048576,1,
124,True,74.06,1048576,1,
125,True,73.68,1048576,1,
119,True,140.65,1048576,1,
129,True,58.57,1048576,1,
126,True,77.20,1048576,1,
130,True,43.74,1048576,1,
131,True,44.32,1048576,1,
134,True,41.58,1048576,1,
136,True,39.60,1048576,1,
135,True,42.44,1048576,1,
139,True,36.68,1048576,1,
132,True,83.00,1048576,1,
